2001-01-13,10,Dance With Me,Debelah Morgan
2001-01-13,11,Again,Lenny Kravitz
2001-01-13,12,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-01-13,13,Love Don't Cost A Thing,Jennifer Lopez
2001-01-13,14,Kryptonite,3 Doors Down
2001-01-13,15,E.I.,Nelly
2001-01-13,16,I Wish,R. Kelly
2001-01-13,17,Gotta Tell You,Samantha Mumba
2001-01-13,18,Most Girls,P!nk
2001-01-13,19,Liquid Dreams,O-Town
2001-01-13,20,Crazy For This Girl,Evan And Jaron
2001-01-13,21,Pinch Me,Barenaked Ladies
2001-01-13,22,Don't Tell Me,Madonna
2001-01-13,23,Danger (Been So Long),Mystikal Featuring Nivea
2001-01-13,24,Beautiful Day,U2
2001-01-13,25,So In Love With Two,Mikaila
2001-01-13,26,Shape Of My Heart,Backstreet Boys
2001-01-13,27,What's Your Fantasy,Ludacris Featuring Shawnna
2001-01-13,28,Stronger,Britney Spears
2001-01-13,29,Music,Madonna
2001-01-13,30,Between Me And You,Ja Rule Featuring Christina Milian
2001-01-13,31,Hemorrhage (In My Hands),Fuel
2001-01-13,32,My First Love,Avant Featuring KeKe Wyatt
2001-01-13,33,My Next Thirty Years,Tim McGraw
2001-01-13,34,Just Friends (Sunny),Musiq
2001-01-13,35,Crazy,K-Ci & JoJo
2001-01-13,36,Without You,Dixie Chicks
2001-01-13,37,South Side,Moby Featuring Gwen Stefani
2001-01-13,38,Bent,matchbox twenty
2001-01-13,39,Mamacita,Public Announcement
2001-01-13,40,Bow Wow (That's My Name),Lil Bow Wow
2001-01-13,41,Don't Think I'm Not,Kandi
2001-01-13,42,I Lost It,Kenny Chesney
2001-01-13,43,My Everything,98 Degrees
2001-01-13,44,Born To Fly,Sara Evans
2001-01-13,45,No More (Baby I'ma Do Right),3LW
2001-01-13,46,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2001-01-13,47,Tell Her,Lonestar
2001-01-13,48,Best Of Intentions,Travis Tritt
2001-01-13,49,You're A God,Vertical Horizon
2001-01-13,50,Promise,Jagged Edge
2001-01-13,51,One Woman Man,Dave Hollister
